NAME,TEAM,SALARY,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER,RK,Duration
AlThornton,LA Clippers,1776240,SF,71,37.4,16.8,6.6,14.8,44.6,0.3,1.1,25.3,3.3,4.4,75.4,5.2,1.5,0.8,0.9,1.8,1,0,12.67,39,2008-2009
AndersonVarejao,Cleveland Cavaliers,5784480,C,81,28.5,8.6,3.3,6.2,53.6,0,0,0,1.9,3.1,61.6,7.2,1,0.9,0.8,1,9,0,14.62,120,2008-2009
AndreaBargnani,Toronto Raptors,5176440,C,78,31.4,15.4,5.5,12.3,45,1.5,3.7,40.9,2.8,3.4,83.1,5.3,1.2,0.4,1.2,1.7,6,0,14.66,50,2008-2009
AndreIguodala,Philadelphia 76ers,11300000,SF,82,39.9,18.8,6.6,14,47.3,1,3.2,30.7,4.6,6.4,72.4,5.7,5.3,1.6,0.4,2.7,11,0,18.49,27,2008-2009
AndreMiller,Philadelphia 76ers,10333334,PG,82,36.3,16.3,6,12.7,47.3,0.2,0.6,28.3,4.1,5,82.6,4.5,6.5,1.3,0.2,2.4,12,2,18.71,44,2008-2009
AndresNocioni,Sacramento Kings,8.00E+06,SF,76,26.2,11.4,3.9,9.2,42.7,1.6,4.1,39.9,1.9,2.4,79.2,4.8,1.3,0.5,0.4,1.5,3,0,12.22,85,2008-2009
AnthonyJohnson,Orlando Magic,1910000,PG,80,18.5,5.3,1.9,4.8,40.4,0.7,1.7,39.1,0.8,1,75.3,1.8,2.5,0.6,0.1,1,0,0,10.34,165,2008-2009
AnthonyParker,Toronto Raptors,4550000,SG,80,33,10.7,4,9.4,42.6,1.2,3,39,1.5,1.8,83.4,4,3.4,1.3,0.2,1.4,0,0,12.16,97,2008-2009
BenGordon,Chicago Bulls,6404750,SG,82,36.6,20.7,7.3,16,45.5,2.1,5.1,41,4,4.7,86.4,3.5,3.4,0.9,0.3,2.4,0,0,17.02,17,2008-2009
BenoUdrih,Sacramento Kings,5585000,PG,73,31.1,11,4.4,9.5,46.1,0.5,1.5,31,1.7,2.1,82,3,4.7,1.1,0.2,2.2,1,0,12.35,93,2008-2009
BobbyJackson,Sacramento Kings,6487888,PG,71,20.9,7.5,2.7,6.8,39.8,0.8,2.8,30.5,1.2,1.4,85.1,2.8,2,0.9,0.1,0.9,2,0,12.4,138,2008-2009
BorisDiaw,Charlotte Bobcats,9.00E+06,C,81,34,13.2,5.5,10.9,50.7,0.9,2.2,41.4,1.2,1.8,68.7,5.3,4.1,0.8,0.7,2.7,8,0,14.5,68,2008-2009
BradMiller,Sacramento Kings,11375000,C,70,30,11.9,4.2,8.8,47.6,0.3,0.8,41.1,3.2,3.9,82.4,7.8,3.3,0.7,0.5,1.9,16,0,16.75,80,2008-2009
BrandonRoy,Portland Trail Blazers,3084240,SG,78,37.2,22.6,8.1,16.9,48,1.1,2.8,37.7,5.3,6.5,82.4,4.7,5.1,1.1,0.3,1.9,3,0,24.08,10,2008-2009
BrandonRush,Indiana Pacers,1799160,SG,75,24,8.1,3.2,7.7,42.3,1,2.8,37.3,0.6,0.9,69.7,3.1,0.9,0.5,0.5,1,2,0,9.06,130,2008-2009
CarmeloAnthony,Denver Nuggets,14410581,F,66,34.5,22.8,8.1,18.3,44.3,1,2.6,37.1,5.6,7.1,79.3,6.8,3.4,1.1,0.4,3,12,0,19.09,8,2008-2009
CharlieBell,Milwaukee Bucks,3354480,SG,70,25.5,8.4,3.1,7.5,41.4,1.2,3.4,36.3,0.9,1.1,82.5,1.9,2.2,0.7,0.1,1.1,0,0,9.85,126,2008-2009
CharlieVillanueva,Milwaukee Bucks,3448050,PF,78,26.9,16.2,6.2,14,44.7,1.1,3.3,34.5,2.6,3.1,83.8,6.7,1.8,0.6,0.7,1.8,14,0,18.64,46,2008-2009
ChaunceyBillups,Detroit Pistons,11050000,PG,79,35.3,17.7,5.2,12.4,41.8,2.1,5,40.8,5.3,5.8,91.3,3,6.4,1.2,0.2,2.2,10,0,18.85,35,2008-2009
ChrisBosh,Toronto Raptors,14410581,PF,77,38,22.7,8,16.4,48.7,0.2,0.6,24.5,6.5,8,81.7,10,2.5,0.9,1,2.3,43,0,22.19,9,2008-2009
ChuckHayes,Houston Rockets,1768000,PF,71,12.1,1.3,0.6,1.6,37.2,0,0.1,0,0.1,0.3,36.8,3.5,0.6,0.5,0.3,0.4,0,0,7.79,181,2008-2009
